项目标题,总价,描述,工时,投标人数
奇门接口开发,3600,"按照奇门标准，做erp到wms的接口转发和处理。
1. 协助申请奇门资质，需要做一些系统搭建等辅助设计
  # 环境搭建（1d）；
  # 部分代码修改（0.5d）；
2. 处理约20个接口的转发管理，透传用；
  # 项目搭建（1d）；
  # 转发配置-通用（1d）；
3. 处理7-8个差异化接口开发和联调。
  # 差异化接口开发（0.5d/个）；
4.  测试联调。",6,10
复现和优化,3000,"https://dl.acm.org/doi/10.1145/3152823，针对这篇论文的内容进行一定程度的复现和改进。
需要有图形学知识，熟悉python。
希望20日（这周日）完成，21日也可接受，如项目需要投入时间更多，预算可议。",3,4
前端开发工程师,500,"需求描述：vue element table的一个折叠功能。
进度：已经有产品文档、原型图、UI，需要技术开发。
人才要求：3年vue开发经验，熟悉elementUI。",1,
官方浏览器插件需要封装一下接入我们服务器开通子账号给用户使用,2500,"官方浏览器插件需要封装一下接入我们服务器开通子账号给用户使用
下面有网址可以下载别人的插件，我也要做成他哪样，大概意思就是我们做个登录系统对接官方的插件系统（我们有官方永久账号）然后代替官方收费。（就是使用官方功能，要经过我的用户管理系统,我们给用户开通子账号，供他们使用）具体实现方法可以参考别人的方法，大概需要了解网络协议，post http 请求，网站前后端搭建，数据中转。",5,
本地股票数据量化回测.,1200,"熟练使用python，使用dataframe,numpy，matplotlib等模块构建金融程序化策略，生成交易信号和盈亏分析。

有耐心,理解能力强,代码逻辑性强.

很简单的一个本地策略.",2,9
前端开发工程师,8000,"一技能要求
1.2～3年实际前端开发经验
2.具备独立完成模块开发
3.熟练使用vue
4.能阶段到公司沟通
二.项目情况
业务系统，后台业务系统为主，有一定业务逻辑
项目框架已经有了，持续迭代功能阶段",8,98
electron+node.js 桌面应用,1000,"其实就是2个页面,  入口处后期废掉

1.入口页面(后期要废掉). 有加载视频和加载PDF两个按钮, 点击按钮后调用网络接口, 返回 httpxxxx.pdf或者 httpxxx.mp4(m3u8), url数据结构可能是数组
2.加载的展位图, 自己先写个占位, 当真正开始播放的时候移除
3.视频播放页, 播放/暂停、当前时间、总时间, 进度条, 呼叫老师(是个按钮, 后续事件不用处理),当是录播可交互(如播放/暂停, 可拖动), 当是直播时需要加个蒙层, 不可交互
4.PDF页面, PDF可正常滚动, 右上角有个计时器, 当超过45分钟颜色为红色(大概),点击右上角关闭框弹出提",2,14
WPF小说阅读器前端,3500,"一、需求描述：

类别：PC端小说阅读器开发
进度：已经有UI设计图，已经有项目代码，项目完成了登录和书库主界面
功能：需要把剩余的UI拼完，只需要按照MVVM的方式拼UI和提供ViewModel类即可
技术：c# wpf

二、人才要求：

熟悉WPF，熟悉MVVM即可


四、合作方式：
开发方式：远程开发。
开发周期：7个工作日",7,13
快递面单收件人信息识别,30000,"快递驿站每天有邮政、中通、韵达、申通等快递，日均邮件量约500件，现需求如下：
1、通过快递出库仪拍摄快递面单照片；
2、通过软件识别快递面单上姓名、手机号码、单号、地址等信息

目前快递出库仪已解决快递面单拍摄问题，急需快递面单ORC识别软件，付费开发",30,29
产品经理或项目技术外包团队,10000,公司因资源有限会外包出一些定制开发项目，包括不限于小程序，APP，平台等。现招合适团队外包或产品经理兼职。长期合作项目需求私聊。成都，北京优先。,20,70
由云端人工智能协助的视频监控系统的iOS用户端的演示版,3000,"一、需求描述
    类别：
    由云端人工智能协助的视频监控系统的iOS用户端的演示版。这个项目是一个演示App，目的是给潜在客户提供演示，所以只需要3页。未来会根据客户需求研制完整的App。
    进度：
    已有原型App：遵循 MVVM (Model-View-View Model) 设计规范，已完成Model包括数据和逻辑，并已载入测试数据；已整合了所需的视频播放器（MobileVLCKit）；已完成简易的UI。
    任务：
    你需要根据提供的UI设计，实现完整的UI（使用 ViewController 和 ViewModel）。
    一共3页：",5,20
管理系统前端开发（小项目多，可长期合作）,3000,"一、需求
       内部管理系统的页面开发

二、使用的技术栈
      微服务架构， 前后端分离开发模式， 前端主要为VUE全家桶技术。
   
三、人才要求
      熟悉VUE全家桶。

四、合作方式
     首次合作大部分时间需要驻场， 后续可以远程+定期见面的方式。",5,
大一期末大作业代写 斗地主简单逻辑判断,500,"一、需求描述
需要按照botzone平台的规则和要求写一个基于python的斗地主ai，不需要机器学习，只需要完成最简单的逻辑判断，
符合计算机专业一年级的水平就可

二、具体要求：
提交的python程序可以在botzone平台正常运行，并排名进入前30%，注释清晰 代码可读性高；
提供一个思路报告

三、参考样例
botzone （https://www.botzone.org.cn/）
fightTheLandlord wiki（https://wiki.botzone.org.cn/index.php?title=FightTheLandlord）

四、合作方",1,
java研发,30000,"精通java   对j2ee架构的平台熟悉   可以驻场    大概2到4个月
薪资方面可以谈  然后 弹性工作  基本上就是对一个oa平台进行二开  具体的话可以细聊
 需要招聘两个人  一个全栈  一个后端",60,50
全景发布平台前端开发（H5移动端+PC）,4000,"PC端权限管理、个人空间管理、PC门户、作品检索、素材库检索、工程分类查询等6个模块功能；开发框架vue2.0，antdesign

移动端权限管理、个人空间管理、移动端门户、作品检索、素材库检索等5个模块功能，实现移动端完整的数据发布流程。
移动端5个页面，PC端新增一个页面，修改5个页面；uni-app开发

参考网站720云",8,37
web前端开发工程师,18000,"职位描述：
1、使用HTML5，CSS，JavaScript与设计师、后台开发人员协作完成高性能和体验的页面；
2、参与产品前端的设计和搭建，和后台的接口联调；
3、参与工业产品的需求分析和设计；
4、解决不同浏览器及不同版本的兼容性问题。
5、精通HTML5、DIV+CSS等页面技术，熟练掌握页面架构和布局；
6、熟练掌握JS、JSON、HTTP/HTTPS等，掌握至少一个前端架构(Vuejs、AngularJS、React)了解其原理；
7、有django/tornado前端模板开发经验优先，有良好UML详细设计或者博客输出者优先；
8、有监控系统、地图系统开发经验者优先。",30,
自助打印软件，云打印软件,6000,"一、一款可以识别和调用电脑端已安装打印机的桌面软件。主要用于自助系统，用户通过微信小程序打印手机的上的文件或图片，小程序与桌面软件进行交互，桌面软件自动完成打印。
二、开发这个软件的工程师
三、参考对象https://www.inmeng.net/      另外一个http://www.iyint.com/
四、期望2周左右完成。",12,26
裂变小程序,5000,我们是汽车后市场的共享车务公司，线下已经很成熟了，盈利中，已经有公众号，需要把线下的服务通过线上变现和发展扩大市场，因此需要引流，锁客，裂变的小程序，需要能组建ui设计师，前端，后端工程师的团队长，主要包括裂变营销，支付，展示等简单功能，要求长期维护合作，随时根据需求调整小程序的服务和功能，也会按市场价付费，合作模式：小程序人工服务费4千（市场价）+营收分成+团队期权5%，如果看重未来的发展，请联系，如果在意前期的人工服务费，请别打扰，我们找志同道合的创业型朋友，限广东地区！,10,20
OA类WEB界面,7500,"Web程序，自适应桌面和手机端（兼容iPhone和Samsung主流机型），使用前后端分离，后端微服务架构。语言要求支持多语言，必须要有中英文，并支持今后更多语言添加。
1，注册登录页面
a.通过邮箱和密码登录，邮箱即为用户名
b.注册需要使用发送注册确认邮件，通过邮件内的链接确认才能完成注册
2，进入系统后，可通过账户密码关联现有数据库账号
a.用户选择厂商，填入用户ID和密码发送
b.如用户ID和密码匹配现有数据库客户数据，则添加成功，否则失败提醒
c.成功后，生成一个API Key，使用收费API（例如Knaus API）将以API Key做为凭证
3，用户账户中心页面",15,34
网站SEO,5600,"需要为一个网站做SEO优化。最近一两个月百度不怎么收录新站的链接，需要找到方法。
需要解决百度搜录，然后是索引，和排名。",8,13
教育培训系统开发（java全栈）,15000,"一、需求描述
需要重构一个教育培训系统，主要包含直播、录播和考试模块，直播模块是对接腾讯。UI使用原来的样式，后端代码重写后，重新对接前端，使用JAVA编程。

二、人才要求

全栈开发工程师
工作职责： 
1、根据需求进行编程开发； 
2、进行程序性能的分析和优化工作；
3、具备良好的编码规范、良好的沟通表达能力和文档交付能力。

 岗位要求： 
1、计算机专业或相关专业大学专科以上学历，3年以上开发工作经验。
2、熟悉SQL语言及常用数据库，有mysql数据库调优经验优先考虑，熟悉ngnix、Tomcat等服务器技术。 
3、精通Html/Css布局，精通Htm",30,70
指导强化学习,6000,"一，需求描述
类别：指导强化学习各类算法的应用，包括常用算法，多智能体算法等，需要具备实现多层多智能体强化学习的能力。
进度：目前已经有一定的理论基础，能跑一些小的算例。
二，人才要求
需熟悉强化学习内容，有指导过强化学习的人优先
三，合作方式
远程指导，具体时间与价格可商议",10,4
研发工程师,800,做一个有关排列五的软件，输入规律就能统计岀隔多少期没有岀。如前四位数总值和是14到20等，平均隔多少期岀现一次最多。还如输入其他规律双重，一大三小，四个小，四个单等。我所说的规律只包括排列5前四位数字。也就是说只要我输入一组规律，就可以显现岀隔最久的是多少期没有开，隔多少次开一次最多。最好当是隔最久的又有提示一下,1,12
博物馆管理系统,5000,"主要分为后台后博物馆网站；
后台主要是管理员对文物进行添加，分类，删除，查询，出库和入库可以打印记录等后台一般的需求都能实现。
网站就是文物的展示，售卖功能也可以实现。展示效果。一般的网站需求都可以实现。",5,122
php,2000,仿大圣电竞全部功能，具体可以去应用软件商店搜索看看里面都有什么功能然后仿出来，然后有能力的再接这个活，没有能力的请勿打扰,4,
其他,1000,写一个排列五规律的软件或者是网页版。比如说我输入排列5前四位数的总值是14到20，它会岀现最多多少期没有开，平均隔多少期开一次。又比如说我输入前四位数字当中没有89这两个数字，它就岀来最多隔多少期没有开。还有我输入双重，它会岀现最多隔多少期没有开等规律。,1,12
网站开发,1500,"1.我需要开发一个类似这个的网站：http://www.cnkiki.net/fenjie/cccnki
2.用户在我的网站提交的所有文件都被我的网站收录到后台、我可以通过后台搜索关键词进行下载。这个功能只有管理员能用。
3.你看到这个项目可能觉得数据库很难爬，我已经找好了类似的源码，你可以看看他的思路参考。
源码网址：https://blog.csdn.net/qq_43263481/article/details/108877534
https://blog.csdn.net/Dlihctcefrep/article/details/109319944",3,26
全栈工程,18000,"需要做过ETC扣费相关系统（对接过相关接口，有相关开发经验）的人员，能够清楚目前高速收费系统ETC扣费流程的人员

我们这边有数万台自有车辆，但安装的ETC都不统一，有的是个人卡，有的是公司卡。现在我们想开发一个系统，统一帮这些货车司机缴纳过路费",20,19
脚本制作,20000,脚本制作 主要是做微信小程序里面的小程序 比如小程序搜索 专项酒购买预约.贵高速最汇购 星力名酒 黔彩会员 以上4个小程序 主要做电脑端批量预约 批量购买 要电脑端多线程并发 需协议来写 语言不限 4个程序可以一起做 也可以能做那个就做那个,10,19
ai算法工程师,10000,"需求
1.动漫口型转换  单项1-2W 2-3周
2.动漫半身动态生成  单项3W 3-4周
3.语言情感分类  单项1W  2周
4.特效贴图 特效滤镜  单项2W 2周

需求详情
我们有专家指导整体技术方案和路径，招聘人力主要负责执行和落地
动漫口型转换是从人口型到动漫口型的转换，目前已有人口型
动漫半身动态生成，是根据身体静态图片和头部角度信息，生成带有旋转角度的半身图
语言情感分类，本文断句，情感分类大致20类情感
特效贴图滤镜，类似人脸，根据关键点进行图像处理

技能要求
熟悉CV和GAN主流模型
具备前沿Paper复现能力，可以按照指导要求完成模型构",20,10
PHP后端,1000,电竞比赛项目二开，有自己源码，需要增加功能为广场分类关注，推荐，开黑，可以发布消息，创建自己战队，加入别人战队，消息通知，积分任务积分商城兑换。,2,
车间 产线管理系统,3500,"当前项目全部为数据录入，不需要自动采集。比较简单
1.了解工厂信息化系统
2.了解工厂业务逻辑
3.使用.netcore开源框架wtm
4.前台使用layui或blazor
5.目前有2个项目，后续会长期有项目
6.转包勿扰
7.无锡优先
主要功能
生产计划
实时产能
计划产能
生产执行
安全生产
出勤管理
生产异常
班组设定
产品工时
看板管理",7,27
数字化项目,160000,"一、需求描述：

类别：社交类网站开发
进度：已经有产品文档、原型图、UI，需要技术开发。
功能：兴趣类社交产品，实现用户以兴趣标签进行聚合和交流的功能。涉及用户登录注册、兴趣标签、IM消息推送、帖子模块、个人中心以及管理员后台系统，需要技术人员将这些模块进行实现。
技术：PHP语言开发，基于Yii框架。

二、人才要求：

3年以上PHP开发经验，熟悉Yii框架，有社交产品开发经验者优先。

三、参考产品：

豆瓣网（www.douban.com)
花瓣网(www.huaban.com)

四、合作方式：

开发方式：远程开发。
开发周期：20-30天",80,39
Wpf前端,2500,"要做一个pc应用
连调 面单打印机 电子秤  摄像头 会寄过来
4个页面
用于物流的出库和入库
使用wpf开发就可
接口已有 ui已有",5,31
嵌入式硬件工程师,7500,"模块应完成以下功能：
1. 收到上位机发送的指令输出相应的模拟电压信号（范围0-4V），驱动电流为单片机DA模式下的电流（1mA之内），可确保该信号阶梯式递增和阶梯式递减，达到线性输出，加减速时间依据现场测试做调整（最小步进单位待定，根据调试做控制微调）。
2. 根据上位机的指令，做出相应的控制动作，控制电机正反转（主要技术参数：转动速度及响应时间）；执行器电机为汽车级电子制动分泵电机，控制板控制电机实现刹车制动。
3.	电子加速过程描述：当踩下加速踏板，会接通一个DC72V电源，加速信该号：0v—4.45V变化。下位机控制电路板在接收到加速信号时，会控制一个DC12V继电器道通（把DC",15,7
JAVA研发工程师,4500,"长期合作的机考程序工程师，每次预约5天

需要用到的语言工具：
前端: vue.js
后端: springboot + mybits
运维: Docker + Kubernetes
代码管理工具: Github

要求：
1，专业能力强
2，长期兼职合作，日薪制
3，每周能有10小时或以上的兼职时间（虽然不会每周都有10小时的任务）

本次预约的任务：
- 熟悉了解机考系统
- 解决存在的bug
- 细化新需求

bug：
1，Double check算分功能（4个单项平均分四舍五入保留整数，试题A10算分有误）
2，同步所有算分表的数据
3，设置在考",5,75
京东关键词首页排名,7000,"需求 ： 针对京东 淘宝 拼多多平台，操作关键词排名上首页，要求是手机端排名，技术成熟稳定，精通平台排名规则，

找长期合作的公司，负责排名业务，有经验的联系洽谈合作，能稳定合作的优先，",14,10
h5小游戏赛车竞猜,500,"h5小游戏赛车竞猜，极速赛车，幸运飞艇等竞猜游戏，有售后，能长期稳定有实力的来，h5小游戏，赛车竞猜
配有游戏机器人
后台系统可查看历史信息",1,
小程序前端开发,3500,做一个小程序demo，要求熟练掌握。时间上要求7天时间，具体需求可以详细聊，项目是一个在线答题，挑战答题，知识学习，轮播等,7,
